,epoch,mean_train_loss,val_acc,val_auc
0,0,0.7586117925293399,0.7107843137254902,0.9109083850931677
1,1,0.6288856137809438,0.7794117647058824,0.9195458074534162
2,2,0.5840589649766024,0.6764705882352942,0.9294448757763976
3,3,0.563580422360989,0.8774509803921569,0.9279891304347826
4,4,0.5289008158417121,0.6470588235294118,0.9319681677018634
5,5,0.504883041716701,0.7647058823529411,0.9312888198757763
6,6,0.4947678364154093,0.9019607843137255,0.937111801242236
7,7,0.5220075765618075,0.8382352941176471,0.9333268633540373
8,8,0.48680194633456714,0.8872549019607843,0.937694099378882
9,9,0.4777611861848241,0.6911764705882353,0.9330357142857143
10,10,0.45699827619805444,0.8333333333333334,0.9371118012422359
11,11,0.44713684184257463,0.8627450980392157,0.9419642857142858
12,12,0.43634307377189135,0.8921568627450981,0.937791149068323
13,13,0.426837073018558,0.9068627450980392,0.9435170807453417
14,14,0.4227694258182912,0.8725490196078431,0.938567546583851
15,15,0.4079314913851358,0.9019607843137255,0.9419642857142857
16,16,0.40155096777241134,0.803921568627451,0.9383734472049691
17,17,0.3932890049575878,0.8970588235294118,0.9458462732919254
18,18,0.38461363155056183,0.8823529411764706,0.938179347826087
19,19,0.377350438585771,0.8970588235294118,0.9448757763975155
20,20,0.3784744752371703,0.8774509803921569,0.9392468944099378
21,21,0.35406574017581244,0.8725490196078431,0.9417701863354038
22,22,0.36099876083589516,0.8431372549019608,0.9376940993788819
23,23,0.3355896878604401,0.8725490196078431,0.9341032608695653
24,24,0.3356090039124736,0.9068627450980392,0.9421583850931677
25,25,0.3179676770406777,0.75,0.9300271739130435
26,26,0.30938862436459585,0.8872549019607843,0.9406055900621118
27,27,0.3042612408574329,0.8627450980392157,0.9367236024844722
28,28,0.29662074592874677,0.8872549019607843,0.9364324534161491
29,29,0.29643285033281075,0.8676470588235294,0.9328416149068324
30,30,0.2893924814891464,0.8823529411764706,0.9334239130434783
31,31,0.2854149741791077,0.8970588235294118,0.9419642857142857
32,32,0.27829769086520256,0.8872549019607843,0.9408967391304348
33,33,0.2589178935186121,0.8921568627450981,0.937888198757764
34,34,0.2659272089903771,0.8823529411764706,0.937111801242236
35,35,0.25815436531987174,0.8823529411764706,0.9264363354037268
36,36,0.25074718416970254,0.8970588235294118,0.9341032608695652
37,37,0.246218240153499,0.7254901960784313,0.8688858695652174
38,38,0.24004541159940657,0.8970588235294118,0.936626552795031
39,39,0.2422038125358739,0.8970588235294118,0.9428377329192545
